clause;activity;extended_activity;generated_activity_active_passive;generated_activity_SRL;generated_activity_combined
The nursing officer makes a full inquiry into the mental health and social state of the patient in question; make full inquiry ;make full inquiry into mental health and social state of patient in question;make full inquiry;make full inquiry into mental health and social state of patient in question;make full inquiry into mental health and social state of patient in question
The mpon mounts the new device; mount new device ;mount new device;mount new device;mount new device;mount new device
To negotiate a settlement on the claim estimate; negotiate settlement ;negotiate settlement on claim estimate;negotiate settlement;negotiate settlement on claim estimate;negotiate settlement on claim estimate
The mpoo shall notify the mpon about no self dismounting of the mpoo; notify about no self dismounting ;notify mpon about self dismounting of mpoo;notify mpon;notify mpon about self dismounting of mpoo;notify mpon about self dismounting of mpoo
The inq notifies the ip of the change; notify IP ; notify IP ;notify ip;;notify ip
The mpon notifies the mpoo about equipment change intentions; notify MPOO about equipment change intentions; notify MPOO about equipment change intentions;notify mpoo;;notify mpoo
The go shall notify the msp about the device changes the master data the meter count at dismounting and the meter count at installation; notify MSP ;notify msp;notify msp;notify msp;notify msp
The mpo notifies the organisation about the failure of the changes; notify organisation ;notify organisation;notify organisation;notify organisation;notify organisation
They offer the service to the public; offer service ;offer service;offer service;offer service;offer service
The employee passes the buzzer on to the guest; pass buzzer ;pass on buzzer;pass on buzzer;pass on buzzer;pass on buzzer
An assessment is performed; perform assessment ;perform assessment;perform assessment;perform assessment;perform assessment
Performing a detailed online presentation; perform detailed online presentation ;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation
We perform a detailed online presentation; perform detailed online presentation ;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation
The mpon or the mpoo perform the final reading; perform final reading ;perform final reading;perform final reading;perform final reading;perform final reading
The msp performs the measurement; perform measurement ;perform measurement;perform measurement;perform measurement;perform measurement
The mpo performs the measuring point change; perform measuring point change ;perform measuring point change;perform measuring point change;perform measuring point change;perform measuring point change
next a garage is phoned; phone garage ;phone garage;phone garage;phone garage;phone garage
The handling department picks up the claim; pick up claim ;pick up claim;pick up claim;pick up claim;pick up claim
then the customer can pick up his meal; pick up meal ;pick up meal;pick up meal;pick up meal;pick up meal
next the chef places the meal in the service hatch; place meal in service hatch ; place meal in service hatch ;place meal;place meal;place meal
He places his order with the employee; place order ;place order;place order;place order;place order
The mpon places an order at the mpoo; place order ;place order;place order;place order;place order
When assembler ag places an order with the supplier; place order ;place order with supplier;place order;place order with supplier;place order with supplier
subsequently an order is placed with the supplier; place order ;place order;place order;place order;place order
The assembler places an order with the supplier; place order ;place order;place order;place order;place order
The first intaker plans a meeting with the patient as soon; plan meeting ;plan meeting with patient;plan meeting;plan meeting with patient;plan meeting with patient
I post the job; post job ;post job;post job;post job;post job
The job is posted by me; post job ;post job;post job;post job;post job
For each patient the secretarial office prepares a letter; prepare letter ;prepare letter;prepare letter;prepare letter;prepare letter
The chef prepares the meal; prepare meal ;prepare meal;prepare meal;prepare meal;prepare meal
He must prepare his personal information; prepare personal information ;prepare personal information;prepare personal information;prepare personal information;prepare personal information
They prepare a registration statement for the approval of the securities and exchange commission; prepare registration statement for approval of Securities and Exchange Commission  ;prepare registration statement for approval of securities and exchange commission;prepare registration statement;prepare registration statement for approval of securities and exchange commission;prepare registration statement for approval of securities and exchange commission
The zooclub department can print the card ; print card ;print card;print card;print card;print card
the department can deliver the card to the visitor; deliver card ;deliver card;deliver card;deliver card;deliver card
The zooclub department can print the card; print card ;print card;print card;print card;print card
The secretarial worker prints the information on a paper; print information ;print information;print information;print information;print information
The information is printed on a paper; print information ;print information;print information;print information;print information
The manager then processes the lead; process lead ;process lead;process lead;process lead;process lead
The manager processes the lead; process lead ;process lead;process lead;process lead;process lead
The lead is processed by the manager; process lead ;process lead;process lead;process lead;process lead
The go processes the measured values; process measured values ;process measured values;process measured values;process measured values;process measured values
The supplier processes the order; process order ;process order;process order;process order;process order
The order is processed by the supplier; process order ;process order;process order;process order;process order
Another table of defaulting accounts are produced; produce another table of defaulting accounts ;produce table of defaulting accounts;produce table;produce table of defaulting accounts;produce table of defaulting accounts
The support office then produces minutes including any action points for each committee member; produce minutes ;produce minutes including action points ;produce minutes;produce minutes including action points for committee member;produce minutes including action points for committee member
At the secretarial office two registration cards are produced; produce two registration cards ;produce two registration cards;produce two registration cards;produce two registration cards;produce two registration cards
The job is published by me; publish job ;publish job;publish job;publish job;publish job
I publish the job; publish job ;publish job;publish job;publish job;publish job
The hr department advertises the post; advertise post ;advertise post;advertise post;advertise post;advertise post
The post is published by the hr department; publish post ;publish post;publish post;publish post;publish post
The hr department publishes the post; publish post ;publish post;publish post;publish post;publish post
After a visit the first intaker puts a copy of these notes in the file of a patient; put copy in file ;put copy of notes in file;put copy;put copy of notes;put copy of notes
We put the information into our production planning system; put information into production planning system ;put information into production planning system;put information;put information;put information
The report is put in a file together with the claim documentation; put report in file;put report in file;put report;put report;put report
To read all related documents; read all related documents ;read related documents;read related documents;read related documents;read related documents
The mpon reads the meter count from the installed meter; read meter count ;read meter count;read meter count;read meter count;read meter count
They immediately receive clearance from the sec; receive clearance ;receive clearance;receive clearance;receive clearance;receive clearance
The employee must receive a confirmation mail; receive confirmation mail ;receive confirmation mail;receive confirmation mail;receive confirmation mail;receive confirmation mail
as soon as a copy is received; receive copy ;receive copy;soon copy;receive copy;receive copy
The expense report is received; receive expense report  ;receive expense report;receive expense report;receive expense report;receive expense report
Assembler ag receives the invoice; receive invoice ;receive invoice;receive invoice;receive invoice;receive invoice
The invoice is received by the assembler; receive invoice ;receive invoice;receive invoice;receive invoice;receive invoice
Everytime we receive a new order from the sales department; receive new order ;receive new order;receive new order;receive new order;receive new order
We receive a request from the system; receive request ;receive request;receive request;receive request;receive request
The employee receives a reimbursement on his direct deposit bank account; receive reimbursement ;receive reimbursement on direct deposit bank account;receive reimbursement;receive reimbursement on direct deposit bank account;receive reimbursement on direct deposit bank account
The expense report is received; receive expense report ;receive expense report;receive expense report;receive expense report;receive expense report
We receive the request at the service desk; receive request ;receive request;receive request;receive request;receive request
The request is received at the service desk; receive request ;receive request;receive request;receive request;receive request
When the secretarial office receives a telephone call; receive telephone call ;receive telephone call;receive telephone call;receive telephone call;receive telephone call
A telephone call is received by the secretarial worker; receive telephone call ;receive telephone call;receive telephone call;receive telephone call;receive telephone call
The visitor receives the card; receive the card;receive card;receive card;receive card;receive card
I receive a vacancy; receive vacancy ;receive vacancy;receive vacancy;receive vacancy;receive vacancy
The coordination unit rechecks all dates; recheck all dates ;recheck dates;recheck dates;recheck dates;recheck dates
All dates are rechecked by the coordination unit; recheck all dates ;recheck dates;recheck dates;recheck dates;recheck dates
Reconcile with the existing account defaulters table; reconcile with existing account defaulters table ; reconcile with existing account defaulters table ;reconcile;exist account defaulters table;exist account defaulters table
The assignments are recorded on an assignment list; record assignments ;record assignments;record assignments;record assignments;record assignments
This information of the patient is recorded by the nursing officer; record information ;record information of patient;record information;record information of patient;record information of patient
Additional observations are registered in a personal notebook; register additional observations ;register additional observations;register additional observations;register additional observations;register additional observations
All defaulting accounts and customers are registered; register all defaulting accounts and customers ;register defaulting accounts and customers;register defaulting accounts;register defaulting accounts and customers;register defaulting accounts and customers
The claim is registered in the claims management system; register claim ;register claim;register claim;register claim;register claim
The notification department insurer registers the claim; register claim ;register claim;register claim;register claim;register claim
The mspn registers the measurement at the go; register measurement ;register measurement;register measurement;register measurement;register measurement
We register the request in our database; register request ;register request;register request;register request;register request
The request is registered in our database; register request ;register request;register request;register request;register request
The ip rejects the changes of the inq; reject changes ;reject changes of inq;reject changes;reject changes of inq;reject changes of inq
The claim is rejected; reject claim ;reject claim;reject claim;reject claim;reject claim
The organization rejects the invoice of the mpoo or the mspo; reject invoice ;reject invoice of mpoo or mspo;reject invoice;reject invoice of mpoo or mspo;reject invoice of mpoo or mspo
The fault detector reports a failure to the user; report failure ;report failure to user;report failure;report failure to user;report failure to user
The mpo reports the implementation to the organisation; report implementation ;report implementation to organisation;report implementation;report implementation to organisation;report implementation to organisation
I report the vacancy to the personnel department; report vacancy ;report vacancy;report vacancy;report vacancy;report vacancy
A vacancy is reported to me; report vacancy ;report vacancy;report vacancy;report vacancy;report vacancy
Someone reports a vacancy to me; report vacancy ;report vacancy;report vacancy;report vacancy;report vacancy
A functional department reports a vacancy; report vacancy ;report vacancy;report vacancy;report vacancy;report vacancy
A vacancy is reported by a functional department; report vacancy ;report vacancy;report vacancy;report vacancy;report vacancy
The organisation requests changes of the mpo; request changes ;request changes of mpo;request changes;request changes of mpo;request changes of mpo
The mpon requests a device takeover bid of the mpoo; request device takeover bid ;request device takeover bid of mpoo;request device takeover bid;request device takeover bid of mpoo;request device takeover bid of mpoo
The go requests the measurements of the msp; request measurements ;request measurements of msp;request measurements;request measurements of msp;request measurements of msp
The mpo reviews the change request; review change request ;review change request;review change request;review change request;review change request
The mspo reviews the dismissal; review dismissal ;review dismissal;review dismissal;review dismissal;review dismissal
The report is then reviewed for approval; review report for approval ;review report;review report;review report;review report
The report is reviewed for approval; review report for approval ;review report;review report;review report;review report
Here the information is saved in the information system; save information ;save information;save information;save information;save information
The secretarial worker saves the information in the information system; save information ;save information in information system;save information;save information in information system;save information in information system
Production is scheduled; schedule production to start ;schedule production;schedule production;schedule production;schedule production
A staff meeting of the entire medical team is scheduled; schedule staff meeting ;schedule staff meeting of entire medical team;schedule staff meeting;schedule staff meeting of entire medical team;schedule staff meeting of entire medical team
He selects the top five ones; select top five ones ;select top five ones;select top five ones;select top five ones;select top five ones
The top five ones are selected by him; select top five ones ;select top five ones;select top five ones;select top five ones;select top five ones
To select the underwriters; select underwriters ;select underwriters;select underwriters;select underwriters;select underwriters
An alert should be sent to the supervisor; send alert ;send alert;send alert;send alert;send alert
The mpoo sends the bill for the temporary continuation of the metering point operations to the go; send bill ;send bill for temporary continuation of metering point operations to go;send bill;send bill for temporary continuation of metering point operations to go;send bill for temporary continuation of metering point operations to go
The mpon or the go sends the bill; send bill ;send bill;send bill;send bill;send bill
The go sends the changed values to the msp; send changed values ;send changed values;send changed values;send changed values;send changed values
The mspn sends a dismissal to the mspo; send dismissal ;send dismissal;send dismissal;send dismissal;send dismissal
An email is sent to the employee; send email ;send email;send email;send email;send email
The final schedule of meeting dates is sent to all the independent committee members by email; send final schedule of meeting dates ;send final schedule of meeting dates;send final schedule;send final schedule of meeting dates;send final schedule of meeting dates
The coordination unit sends the final schedule of meeting dates to all independent members; send final schedule of meeting dates ;send final schedule of meeting dates;send dates;send final schedule of meeting dates;send final schedule of meeting dates
The customer must send this information to the zooclub department; send information ;send information;send information;send information;send information
The supplier sends an invoice to assembler ag; send invoice ;send invoice;send ag;send invoice;send invoice
An invoice is sent by the supplier to the assembler; send invoice ;send invoice;send invoice;send invoice;send invoice
In any case a letter is sent to the customer; send letter ;send letter;send letter;send letter;send letter
The secretarial office sends a letter to the family doctor of the patient; send letter ;send letter;send letter;send letter;send letter
The mpoo sends the master data; send master data ;send master data;send master data;send master data;send master data
A supervisor should be sent a message; send message ;send message;send supervisor;send message;send message
He sends a note to the manager; send note ;send note;send note;send note;send note
Assembler ag sends the order to the supplier; send order ;send order;send order;send order;send order
The order is sent to the supplier; send order ;send order;send order;send order;send order
Relevant forms are sent to the claimant; send relevant forms ;send relevant forms;send relevant forms;send relevant forms;send relevant forms
The mpoo sends a tender for the equipment takeover to the mpon; send tender ;send tender for equipment takeover;send tender;send tender for equipment takeover;send tender for equipment takeover
The mpon sends the values of the final reading to the go; send values ;send values of final reading;send values;send values of final reading;send values of final reading
He sets off the buzzer of the guest; set up buzzer ;set off buzzer of guest;set off buzzer;set off buzzer of guest;set off buzzer of guest
After the payment the employee sets up a buzzer; set up buzzer ;set up buzzer;set up buzzer;set up buzzer;set up buzzer
The employee sets up a buzzer; set up buzzer ;set up buzzer;set up buzzer;set up buzzer;set up buzzer
The job is shared by me on social media; share job ;share job;share job;share job;share job
The user shares the results of the repairs carried out with the fault detector; share results ;share results of repairs carried out with fault detector;share results;share results of repairs carried out with fault detector;share results of repairs carried out with fault detector
The secretarial office stores the assignment of each patient of the assignment list in the information system; store assignment ; store assignment ;store assignment;;store assignment
Here the information is stored in the information system; store information ;store information;store information;store information;store information
The secretarial worker stores the information in the information system; store information ; store information ;store information;;store information
The registration form is stored in the patient file; store registration form ;store registration form;store registration form;store registration form;store registration form
A customer submits a claim by; submit claim ;submit claim;submit claim;submit claim;submit claim
I am submitting the job description for consideration; submit job description ;submit job description ;submit job description;submit job description for consideration;submit job description for consideration
I submit the job description; submit job description ;submit job description;submit job description;submit job description;submit job description
The job description is submitted by me; submit job description ;submit job description;submit job description;submit job description;submit job description
The support officer suggests modifications; suggest modifications ;suggest modifications;suggest modifications;suggest modifications;suggest modifications
Modifications are suggested by the support officer; suggest modifications ;suggest modifications;suggest modifications;suggest modifications;suggest modifications
An employee takes care of the implementation; take care of implementation ; take care of implementation ;take care;take care;take care
The zooclub department transfers the payment request to the billing department; transfer payment request ;transfer payment request;transfer payment request;transfer payment request;transfer payment request
The msp transmits the measured values to the go; transmit measured values ;measure values;transmit measured values;measure values;measure values
The go transmit the readings to the sp; transmit readings ;transmit readings;transmit readings;transmit readings;transmit readings
The inq transmits the transaction data request to the ip; transmit request ; transmit request ;transmit data request;;transmit data request
The support officer then updates all departmental records; update all departmental records ;update departmental records;update departmental records;update departmental records;update departmental records
The company verifies the deregistration; verify deregistration ;verify deregistration;verify deregistration;verify deregistration;verify deregistration
Next the customer waits; wait ; wait ;wait;;wait
I wait for approval; wait for approval ; wait for approval ;wait;wait i;wait i
I wait for approval; wait for approval ; wait for approval ;wait;wait i;wait i
To wait for approval; wait for approval ;wait for approval;wait;wait for approval;wait for approval
The visitor must wait for a card; wait for card ; wait for card ;wait;wait visitor;wait visitor
We are waiting; wait ; wait ;wait;wait we;wait we
In a next step all appropriate documents are uploaded to the system; upload all appropriate documents ; upload all appropriate documents ;upload appropriate documents;;upload appropriate documents
The company verifies the deregistration; verify deregistration ;verify deregistration;verify deregistration;verify deregistration;verify deregistration
Next, the customer waits until it is his turn;act> wait ;wait;wait;wait customer;wait customer
I wait for approval;act> wait ;wait;wait;wait i;wait i
The visitor must wait for a card;act> wait for card ;wait for card ;wait;wait visitor;wait visitor
We are waiting for the customer to come back to us; wait for customer ; wait for customer ;wait;wait we;wait we
