structured_description;solution
A small company manufactures customized bicycles. When<act>receive order</act>, a new process instance is created. If a member of the sales department rejects the order for a customized bike, <act>inform customer</act>. In case a member of the sales department accepts the order for a customized bike, <act>inform storehouse and engineering department</act>. Subsequently<act>process part list </act>. <act>check required quantity</act>. Whenever each part is available, <act>reserve part</act>. If each part is not available, <act>order part</act>. Before<act>assemble bicycle</act>, <act>prepare everything</act>. Once<act>ship bicycle</act> , the process instance finishes.;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act> <act> ship bicycle </act> 
A small company manufactures customized bicycles. Whenever <act>receive order</act> at the sales department, a new process instance is created. If a member of the sales department rejects the order for a customized bike, <act>inform customer</act>. If a member of the sales department accepts the order for a customized bike, <act>inform storehouse and engineering department</act>. Subsequently<act>process part list of order</act>. <act>check quantity</act>. If the part is available, <act>reserve part</act>. If the part is available, <act>back order part</act>. Before<act>assemble bicycle</act>, <act>prepare everything</act>. Afterwards, the sales department <act>ship bicycle</act> . In the next step, the process instance finishes.;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list of order </act>  <act> check quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act>  <act> ship bicycle </act> 
First<act>submit vacation request</act>. Before<act>receive request</act>, <act>note request</act>. Then<act>review request</act>. The supervisor can approve or reject the request. Whenever the request is rejected, <act>return application</act>. If the request is approved, <act>generate notification</act>.; <act> submit vacation request </act> <act> note request </act> <act> receive request </act>  <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>
Initially<act>submit request</act>. Before<act>receive request</act>, <act>register requirement</act>. After that,<act>review request</act>. The supervisor can approve or reject the request. If the request is rejected, <act>return application</act>. In case the request is approved, <act>generate notification</act>.; <act> submit request </act> <act> register requirement </act> <act> receive request </act>  <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>
The process of vacations request starts when<act>submit purchase request</act>. When<act>note request</act>, <act>receive request</act>. In the next step,<act>review request</act>. The supervisor can approve or reject the request. If the request is rejected, <act>return application</act>. In case the request is approved, <act>generate notification</act>.; <act> submit purchase request </act> <act> note request </act> <act> receive request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>
The process of vacations request starts when<act>submit vacation request</act>. After<act>note request</act>, <act>receive request</act>. Thereafter<act>review request</act>. The supervisor can approve or reject the request. Whenever the request is rejected, <act>return application</act>. Whenever the request is approved, <act>generate notification</act>.; <act> submit vacation request </act> <act> note request </act> <act> receive request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>
The process of vacations request starts when<act>submit vacation request</act>. When<act>register requirement</act>, <act>receive request</act>. Next<act>review request</act>. The supervisor can approve or reject the request. If the request is rejected, <act>return application</act>. If the request is approved, <act>generate notification</act>.; <act> submit vacation request </act> <act> register requirement </act> <act> receive request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>
The process of an office supply request starts when<act>submit office supply request</act>. Before<act>receive request</act>, <act>register requirement</act>. Thereafter<act>assess request</act>. If the request is rejected, <act>return request</act>. In case the request is approved, the request will go to the purchase department that will be in charge of <act>select vendor</act>. If the vendor is not valid in the system, the purchase department will have <act>choose different vendor</act>. <act>select vendor</act>. Subsequently<act>send purchase order</act>. Thereafter<act>wait system</act> for the product to be delivered. <act>send notification</act> to let the user know what the result was.; <act> submit office supply request </act> <act> register requirement </act> <act> receive request</act> <act> assess request </act> <path1><act> return request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> 
The process of an office supply request starts when<act>submit office supply request</act>. In the next step,<act>be </act>. Then<act>receive request</act>. Subsequently<act>assess request</act>. Whenever the request is rejected, <act>return request</act>. If the request is approved, the request will go to the purchase department that will be in charge of <act>select vendor</act>. Whenever the vendor is not valid in the system, the purchase department will have <act>choose different vendor</act>. <act>select vendor</act>. Next,<act>send purchase order</act>. Later<act>wait system</act> for the invoice to be received. <act>send notification</act> to let the user know what the result was.; <act> submit office supply request </act> <act> register requirement </act> <act> receive request</act> <act> assess request </act> <path1><act> return request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> 
The process of an office supply request starts when<act>submit office supply request</act>. Before<act>receive request</act>, <act>register requirement</act>. Subsequently<act>assess request</act>. Whenever the request is rejected, <act>return request</act>. If the request is approved, the request will go to the purchase department that will be in charge of <act>select vendor</act>. If the vendor is not valid in the system, the purchase department will have <act>choose different vendor</act>. <act>select vendor</act>. <act>send purchase order</act>. <act>wait system</act> for the product to be delivered. <act>send notification</act> to let the user know what the result was.; <act> submit office supply request </act> <act> receive request</act> <act> register requirement </act> <act> assess request </act> <path1><act> return request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> 
The process of an office supply request starts when<act>submit office supply request</act>. Before<act>receive request</act>, <act>register requirement</act>. Thereafter<act>assess request</act>. In case the request is rejected, <act>be request</act>. In case the request is approved, the request will go to the purchase department that will be in charge of <act>select vendor</act>. If the vendor is not valid in the system, the purchase department will have <act>choose different vendor</act>. <act>select vendor</act>. In the next step,<act>send purchase order</act>. Later<act>wait system</act> for the product to be delivered. <act>send notification</act> to let the user know what the result was.; <act> submit office supply request </act> <act> receive request</act> <act> register requirement </act> <act> assess request </act> <path1><act> close request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> 
The process of an office supply request starts when<act>submit office supply request</act>. After<act>be </act>, <act>receive request</act>. In the next step,<act>assess request</act>. If the request is rejected, <act>return request</act>. In case the request is approved, the request will go to the purchase department that will be in charge of <act>select vendor</act>. If the vendor is not valid in the system, the purchase department will have <act>choose different vendor</act>. <act>select vendor</act>. Afterwards, the system will send a purchase order. Subsequently<act>wait system</act> for the invoice to be received. <act>send notification</act> to let the user know what the result was.; <act> submit office supply request </act> <act> register requirement </act> <act> receive request</act> <act> assess request </act> <path1><act> return request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> 
First<act>purchase product or service</act> that an employee requires. For instance, a sales person on a trip rents a car. Before<act>review expense report</act>, <act>submit expense report with list of items along with receipts for item</act>. Next she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, <act>receive response with reasons</act> why the report was rejected. Whenever the supervisor approves the report, <act>hand over report</act>. Next,<act>check report</act>. If everything is in order, <act>accept expenses for processing</act>. In case receipts are missing or do not match the report, <act>make corrections</act> . After that,<act>wait process</act>. After<act>confirm payment</act>, the process ends.; <act> purchase product or service </act>  <act> review expense report </act> <act> submit expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>
First<act>purchase product or service</act> that an employee requires. For instance, a sales person on a trip rents a car. Before<act>review expense report</act>, <act>submit expense report with list of items along with receipts for item</act>. Subsequently she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, <act>receive response with reasons</act> why the report was rejected. If the supervisor approves the report, <act>hand over report</act>. Subsequently<act>check report</act>. If everything is in order, <act>accept expenses for processing</act>. If receipts are missing or do not match the report, <act>make corrections</act> . Next<act>wait process</act>. After<act>confirm payment</act>, the process ends.; <act> purchase product or service </act>  <act> review expense report </act> <act> submit expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>
The process starts when<act>purchase product or service</act> that an employee requires. For instance, a sales person on a trip rents a car. Next<act>submit expense report with list of items along with receipts for item</act>. <act>review expense report</act>. Subsequently A supervisor approves or rejects the expense report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, <act>receive response with reasons</act> why the report was rejected. Whenever the supervisor approves the report, <act>hand over report</act>. <act>check report</act>. If everything is in order, <act>accept expenses for processing</act>. In case receipts are missing or do not match the report, <act>make corrections</act> . In the next step,<act>wait process</act>. After<act>confirm payment</act>, the process ends.; <act> purchase product or service </act>  <act> submit expense report </act> <act> review expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>
The process starts when<act>purchase product or service</act> that an employee requires. For instance, a sales person on a trip rents a car. After <act>submit expense report with list of items along with receipts for item</act>, a supervisor reviews the expense report. Next a supervisor approves or rejects the expense report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, <act>receive response with reasons</act> why the report was rejected. If the supervisor approves the report, <act>hand over report</act>. Later<act>check report</act>. If everything is in order, <act>accept expenses for processing</act>. If receipts are missing or do not match the report, <act>make corrections</act> . Later<act>wait process</act>. After<act>confirm payment</act>, the process ends.; <act> purchase product or service </act>  <act> submit expense report </act> <act> review expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>
Initially<act>purchase product or service</act> that an employee requires. For instance, a sales person on a trip rents a car. In the next step,<act>submit expense report with list of items along with receipts for item</act>. Subsequently<act>review expense report</act>. Subsequently she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, <act>receive response with reasons</act> why the report was rejected. Whenever the supervisor approves the report, <act>hand over report</act>. Thereafter<act>check report</act>. Whenever everything is in order, <act>accept expenses for processing</act>. If receipts are missing or do not match the report, <act>make corrections</act> . <act>wait process</act>. After<act>confirm payment</act>, the process ends.; <act> purchase product or service </act>  <act> submit expense report </act> <act> review expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>
First<act>send warrant possession request asking warrant</act> to be released. Then<act>retrieve file</act>. If some files are missing, <act>track files</act>. Next<act>attache new document</act>. After that,<act>forward sct warrant possession</act>.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> track files physically </act></path1> <act> attach document </act> <act> forward SCT Warrant Possession </act>
The process starts when<act>send warrant possession request asking warrant</act> to be released. Later<act>retrieve file</act>. If some files are missing, <act>initiate search</act>. Then<act>expand physical file</act>. After that,<act>forward sct warrant possession</act>.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> initiate search </act></path1> <act> store physical file </act> <act> forward SCT Warrant Possession </act>
The process starts when<act>send warrant possession request asking warrant</act> to be released. Then<act>retrieve file</act>. If some files are missing, <act>track files</act>. Thereafter<act>expand physical file</act>. Thereafter<act>forward sct warrant possession</act>.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> track files physically </act></path1> <act> store physical file </act> <act> forward SCT Warrant Possession </act>
Initially<act>send warrant possession request asking warrant</act> to be released. Afterwards, the client service back office as part of the small claims registry operations retrieves the file. If some files are missing, <act>initiate search</act>. <act>expand physical file</act>. In the next step,<act>forward sct warrant possession</act>.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> initiate search </act></path1> <act> store physical file </act> <act> forward SCT Warrant Possession </act>
First<act>send warrant possession request asking warrant</act> to be released. In the next step,<act>retrieve file</act>. In case some files are missing, <act>initiate search</act>. In the next step,<act>attache new document</act>. After that,<act>forward sct warrant possession</act>.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> initiate search </act></path1> <act> attach document </act> <act> forward SCT Warrant Possession </act>
First<act>register claim</act> . Later<act>examine claim</act>. <act>write settlement recommendation</act> is then checked by a senior claims officer who may mark the claim as ok or not ok. If the claim is marked as not OK, <act>send letter</act>. If the claim is OK, <act>receive confirmation</act>.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>
First<act>register claim</act> . Thereafter<act>examine claim</act>. <act>write settlement recommendation</act> is then checked by a senior claims officer who may mark the claim as ok or not ok. If the claim is marked as not OK, <act>send letter</act>. If the claim is OK, <act>receive confirmation</act>.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>
Initially<act>register claim</act> . Thereafter<act>examine claim</act>. <act>write settlement recommendation</act> is then checked by a senior claims officer who may mark the claim as ok or not ok. If the claim is marked as not OK, <act>send letter</act>. If the claim is OK, <act>receive confirmation</act>.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>
The process starts when<act>register claim</act> . In the next step,<act>examine claim</act>. <act>write settlement recommendation</act> is then checked by a senior claims officer who may mark the claim as ok or not ok. If the claim is marked as not OK, <act>send letter</act>. In case the claim is OK, <act>receive confirmation</act>.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>
The process starts when<act>register claim</act> . In the next step,<act>examine claim</act>. <act>write settlement recommendation</act> is then checked by a senior claims officer who may mark the claim as ok or not ok. Whenever the claim is marked as not OK, <act>send letter</act>. Whenever the claim is OK, <act>receive confirmation</act>.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>
First<act>collect mail from party</act>. <act>sort unopened mail</act>. In the next step,<act>distribute mail</act>. After that,<act>receive mail</act>. In case the mail is not compliant, <act>compile reason for rejection</act>. If the mail is compliant, <act>capture matter details</act>. Before<act>post documents</act>, <act>put documents</act> . Before<act>print physical court file</act>, <act>capture party details</act>.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> post documents </act> <act> put documents into envelope </act>  <act> print Physical Court File </act> <act> capture Party Details </act>
Initially<act>collect mail from party</act>. <act>sort unopened mail</act>. Next,<act>distribute mail</act>. Subsequently<act>receive mail</act>. If the mail is not compliant, <act>compile reason for rejection</act>. If the mail is compliant, <act>capture matter details</act>. Before<act>post documents</act>, <act>put documents</act> . Once<act>capture party details</act>, <act>print physical court file</act>.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> post documents </act> <act> put documents into envelope </act>  <act> capture Party Details </act> <act> print Physical Court File </act>
First<act>collect mail from party</act>. <act>sort unopened mail</act>. <act>distribute mail</act>. Subsequently<act>receive mail</act>. Whenever the mail is not compliant, <act>compile reason for rejection</act>. If the mail is compliant, <act>capture matter details</act>. Before<act>post documents</act>, <act>put documents</act> . After<act>capture party details</act>, <act>print physical court file</act>.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> post documents </act> <act> put documents into envelope </act>  <act> capture Party Details </act> <act> print Physical Court File </act>
The process starts when<act>collect mail from party</act>. <act>sort unopened mail</act>. Subsequently<act>distribute mail</act>. Next<act>receive mail</act>. If the mail is not compliant, <act>compile reason for rejection</act>. If the mail is compliant, <act>capture matter details</act>. Before<act>post documents</act>, <act>put documents</act> . Before<act>print physical court file</act>, <act>capture party details</act>.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> post documents </act> <act> put documents into envelope </act>  <act> print Physical Court File </act> <act> capture Party Details </act>
First<act>collect mail from party</act>. <act>sort unopened mail</act>. <act>distribute mail</act>. Later<act>receive mail</act>. Whenever the mail is not compliant, <act>compile reason for rejection</act>. If the mail is compliant, <act>capture matter details</act>. Once<act>put documents</act> , <act>post documents</act>. When<act>capture party details</act>, <act>print physical court file</act>.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> put documents into envelope </act>  <act> post documents </act> <act> capture Party Details </act> <act> print Physical Court File </act>
In the context of a claim handling process, it is sometimes necessary <act>send questionnaire</act> to gather additional information. The claimant is expected to return the questionnaire within five days. In case no response is received after five days, <act>send reminder</act>. Whenever a response is received within five days , <act>process questionnaire</act> . In the next step,<act>receive feedback on questionnaire</act> .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>
In the context of a claim handling process, it is sometimes necessary <act>send questionnaire</act> to gather additional information. The claimant is expected to return the questionnaire within five days. If no response is received after five days, <act>send reminder</act>. If a response is received within five days , <act>process questionnaire</act> . Afterwards, the claimant receives feedback on the questionnaire .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>
In the context of a claim handling process, it is sometimes necessary <act>send questionnaire</act> to gather additional information. The claimant is expected to return the questionnaire within five days. In case no response is received after five days, <act>send reminder</act>. If a response is received within five days , <act>process questionnaire</act> . Next,<act>receive feedback on questionnaire</act> .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>
In the context of a claim handling process, it is sometimes necessary <act>send questionnaire</act> to gather additional information. The claimant is expected to return the questionnaire within five days. If no response is received after five days, <act>send reminder</act>. If a response is received within five days , <act>process questionnaire</act> . <act>receive feedback on questionnaire</act> .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>
In the context of a claim handling process, it is sometimes necessary <act>send questionnaire</act> to gather additional information. The claimant is expected to return the questionnaire within five days. In case no response is received after five days, <act>send reminder</act>. If a response is received within five days , <act>process questionnaire</act> . In the next step,<act>receive feedback on questionnaire</act> .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>
Initially<act>receive claim</act>. Next<act>check insurance of claimant</act>. If not, the claimant is informed that the claim must be rejected. Otherwise, the severity of the claim is evaluated. After<act>send relevant forms</act>, <act>check forms</act>. If the forms provide all relevant details, <act>register claim</act>. Otherwise, the claimant is informed <act>update forms</act>.; <act> receive claim </act> <act> check insurance</act> <path1><act> inform claimant </act></path1><path2><act> evaluate severity of the claim </act></path2> <act> send relevant forms </act> <act> check forms for completeness </act> <path1><act> register claim </act></path1><path2><act> inform claimant </act></path2>
First<act>receive claim</act>. Later<act>check insurance of claimant</act>. Whenever not, <act>inform claimant</act> that the claim must be rejected. Otherwise, the severity of the claim is evaluated. Once<act>send relevant forms</act>, <act>check forms</act>. If the forms provide all relevant details, <act>register claim</act>. Otherwise, <act>inform claimant</act> <act>update forms</act>.; <act> receive claim </act> <act> check insurance</act> <path1><act> inform claimant </act></path1><path2><act> evaluate severity of the claim </act></path2> <act> send relevant forms </act> <act> check forms for completeness </act> <path1><act> register claim </act></path1><path2><act> inform claimant </act></path2>
Initially<act>receive claim</act>. Afterwards, the insurance of the claimant is checked by the organisation. If not, the claimant is informed that the claim must be rejected. Otherwise, the severity of the claim is evaluated. After<act>send relevant forms</act>, <act>check forms</act>. In case the forms provide all relevant details, <act>register claim</act>. Otherwise, the claimant is informed <act>update forms</act>.; <act> receive claim </act> <act> check insurance</act> <path1><act> inform claimant </act></path1><path2><act> evaluate severity of the claim </act></path2> <act> send relevant forms </act> <act> check forms for completeness </act> <path1><act> register claim </act></path1><path2><act> inform claimant </act></path2>
First<act>receive claim</act>. Subsequently<act>check insurance of claimant</act>. If not, the claimant is informed that the claim must be rejected. Otherwise, the severity of the claim is evaluated. After<act>send relevant forms</act>, <act>check forms</act>. Whenever the forms provide all relevant details, <act>register claim</act>. Otherwise, the claimant is informed <act>update forms</act>.; <act> receive claim </act> <act> check insurance</act> <path1><act> inform claimant </act></path1><path2><act> evaluate severity of the claim </act></path2> <act> send relevant forms </act> <act> check forms for completeness </act> <path1><act> register claim </act></path1><path2><act> inform claimant </act></path2>
