;description;solution;id_description;clauses
15;First an employee purchases a product or service that he requires. For instance, a sales person on a trip rents a car. Before a supervisor reviews the expense report, the employee submits an expense report with a list of items, along with the receipts for each item. Next she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, the employee, who submitted it, receives a response with reasons why the report was rejected. If the supervisor approves the report, the report is handed over to the treasurer. Afterwards, the treasurer checks the report. In case everything is in order, the treasurer accepts the expenses for processing. If receipts are missing or do not match the report, he makes the corrections himself . Then the process waits for the payment confirmation. After the payment is confirmed, the process ends.; <act> purchase product or service </act>  <act> review expense report </act> <act> submit expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>;15;['First an employee purchases a product or service', 'That he requires', 'For instance a sales person on a trip rents a car', 'Before a supervisor reviews the expense report', 'The employee submits an expense report with a list of items along with the receipts for each item', 'Next she approves or rejects the report', 'This review could be automated', 'To reduce the workload on the supervisor', 'The employee  receives a response with reasons', 'If the supervisor rejects the report', 'Who submitted it', 'Why the report was rejected', 'If the supervisor approves the report', 'The report is handed over to the treasurer', 'Afterwards the treasurer checks the report', 'In case everything is in order', 'The treasurer accepts the expenses for processing', 'If receipts are missing or do not match the report', 'He makes the corrections himself', 'Then the process waits for the payment confirmation', 'After the payment is confirmed', 'The process ends']
16;First an employee purchases a product or service that he requires. For instance, a sales person on a trip rents a car. When the employee submits an expense report with a list of items, along with the receipts for each item, a supervisor reviews the expense report. Next she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. In case the supervisor rejects the report, the employee, who submitted it, receives a response with reasons why the report was rejected. If the supervisor approves the report, the report is handed over to the treasurer. Afterwards, the treasurer checks the report. In case everything is in order, the treasurer accepts the expenses for processing. In case receipts are missing or do not match the report, he makes the corrections himself . Next the process waits for the payment confirmation. After the payment is confirmed, the process ends.; <act> purchase product or service </act>  <act> submit expense report </act> <act> review expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>;16;['First an employee purchases a product or service', 'That he requires', 'For instance a sales person on a trip rents a car', 'When  a supervisor reviews the expense report', 'The employee submits an expense report with a list of items along with the receipts for each item', 'Next she approves or rejects the report', 'This review could be automated', 'To reduce the workload on the supervisor', 'The employee  receives a response with reasons', 'In case the supervisor rejects the report', 'Who submitted it', 'Why the report was rejected', 'If the supervisor approves the report', 'The report is handed over to the treasurer', 'Afterwards the treasurer checks the report', 'In case everything is in order', 'The treasurer accepts the expenses for processing', 'In case receipts are missing or do not match the report', 'He makes the corrections himself', 'Next the process waits for the payment confirmation', 'After the payment is confirmed', 'The process ends']
17;Initially an employee purchases a product or service that he requires. For instance, a sales person on a trip rents a car. Thereafter the employee submits an expense report with a list of items, along with the receipts for each item. In the next step, a supervisor reviews the expense report. Next she approves or rejects the report. This review could be automated, to reduce the workload on the supervisor. If the supervisor rejects the report, the employee, who submitted it, receives a response with reasons why the report was rejected. Whenever the supervisor approves the report, the report is handed over to the treasurer. Later the treasurer checks the report. If everything is in order, the treasurer accepts the expenses for processing. If receipts are missing or do not match the report, he makes the corrections himself . Then the process waits for the payment confirmation. After the payment is confirmed, the process ends.; <act> purchase product or service </act>  <act> submit expense report </act> <act> review expense report </act>   <path1><act> receive response </act></path1><path2><act> hand over report </act></path2> <act> check report </act> <path1><act> accept expenses for processing </act></path1><path2><act> make corrections </act></path2> <act> wait for payment confirmation </act> <act> confirm payment </act>;17;['Initially an employee purchases a product or service', 'That he requires', 'For instance a sales person on a trip rents a car', 'Thereafter the employee submits an expense report with a list of items along with the receipts for each item', 'In the next step a supervisor reviews the expense report', 'Next she approves or rejects the report', 'This review could be automated', 'To reduce the workload on the supervisor', 'The employee  receives a response with reasons', 'If the supervisor rejects the report', 'Who submitted it', 'Why the report was rejected', 'Whenever the supervisor approves the report', 'The report is handed over to the treasurer', 'Later the treasurer checks the report', 'If everything is in order', 'The treasurer accepts the expenses for processing', 'If receipts are missing or do not match the report', 'He makes the corrections himself', 'Then the process waits for the payment confirmation', 'After the payment is confirmed', 'The process ends']
18;The process starts when the party sends a warrant possession request asking a warrant to be released. Afterwards, the client service back office as part of the small claims registry operations retrieves the file. If some files are missing, a search is initiated. Next, back office stores the expanded physical file. Next, the sct warrant possession is forwarded to queensland police.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> initiate search </act></path1> <act> store physical file </act> <act> forward SCT Warrant Possession </act>;18;['The process starts', 'When the party sends a warrant possession request asking a warrant', 'To be released', 'Afterwards the client service back office as part of the small claims registry operations retrieves the file', 'If some files are missing', 'A search is initiated', 'Next back office stores the expanded physical file', 'Next the sct warrant possession is forwarded to queensland police']
19;First the party sends a warrant possession request asking a warrant to be released. Later the client service back office as part of the small claims registry operations retrieves the file. If some files are missing, a search is initiated. Next, back office stores the expanded physical file. Afterwards, the sct warrant possession is forwarded to queensland police.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> initiate search </act></path1> <act> store physical file </act> <act> forward SCT Warrant Possession </act>;19;['First the party sends a warrant possession request asking a warrant', 'To be released', 'Later the client service back office as part of the small claims registry operations retrieves the file', 'If some files are missing', 'A search is initiated', 'Next back office stores the expanded physical file', 'Afterwards the sct warrant possession is forwarded to queensland police']
20;The process starts when the party sends a warrant possession request asking a warrant to be released. Afterwards, the client service back office as part of the small claims registry operations retrieves the file. Whenever some files are missing, the files can be physically tracked to the intended location. Back office attaches the new document. Thereafter the sct warrant possession is forwarded to queensland police.; <act> send warrant possession request </act> <act> retrieve file </act> <path1><act> track files physically </act></path1> <act> attach document </act> <act> forward SCT Warrant Possession </act>;20;['The process starts', 'When the party sends a warrant possession request asking a warrant', 'To be released', 'Afterwards the client service back office as part of the small claims registry operations retrieves the file', 'Whenever some files are missing', 'The files can be physically tracked to the intended location', 'Back office attaches the new document', 'Thereafter the sct warrant possession is forwarded to queensland police']
21;Initially a claim is registered . Afterwards, the claim is examined by a claims officer. The claims officer then writes a settlement recommendation. This recommendation is then checked by a senior claims officer who may mark the claim as ok or not ok. Whenever the claim is marked as not OK, a letter is sent back to the claims officer. Whenever the claim is OK, the claims officer will receive a confirmation.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>;21;['Initially a claim is registered', 'Afterwards the claim is examined by a claims officer', 'The claims officer then writes a settlement recommendation', 'This recommendation is then checked by a senior claims officer', 'Who may mark the claim as ok or not ok', 'Whenever the claim is marked as not ok', 'A letter is sent back to the claims officer', 'Whenever the claim is ok', 'The claims officer will receive a confirmation']
22;Initially a claim is registered . Next the claim is examined by a claims officer. The claims officer then writes a settlement recommendation. This recommendation is then checked by a senior claims officer who may mark the claim as ok or not ok. If the claim is marked as not OK, a letter is sent back to the claims officer. If the claim is OK, the claims officer will receive a confirmation.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>;22;['Initially a claim is registered', 'Next the claim is examined by a claims officer', 'The claims officer then writes a settlement recommendation', 'This recommendation is then checked by a senior claims officer', 'Who may mark the claim as ok or not ok', 'If the claim is marked as not ok', 'A letter is sent back to the claims officer', 'If the claim is ok', 'The claims officer will receive a confirmation']
23;First a claim is registered . In the next step, the claim is examined by a claims officer. The claims officer then writes a settlement recommendation. This recommendation is then checked by a senior claims officer who may mark the claim as ok or not ok. In case the claim is marked as not OK, a letter is sent back to the claims officer. Whenever the claim is OK, the claims officer will receive a confirmation.; <act> register claim </act> <act> examine claim </act> <act> write settlement recommendation </act>  <act> check recommendation </act> <path1><act> send letter back </act></path1><path2><act> receive confirmation </act></path2>;23;['First a claim is registered', 'In the next step the claim is examined by a claims officer', 'The claims officer then writes a settlement recommendation', 'This recommendation is then checked by a senior claims officer', 'Who may mark the claim as ok or not ok', 'In case the claim is marked as not ok', 'A letter is sent back to the claims officer', 'Whenever the claim is ok', 'The claims officer will receive a confirmation']
24;First a mail from the party is collected by the mail processing unit. Within this unit, the mail clerk sorts the unopened mail into one of the various business areas. Thereafter the mail is distributed. Next the mail is received by the registry. In case the mail is not compliant, a list of requisition explaining the reason for rejection is compiled. If the mail is compliant, the matter details are captured to the Cashier. Before the assistant registry manager posts the documents to the party, the assistant registry manager puts the documents into an envelope . Before the cashier prints the physical court file, the cashier captures the party details.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> post documents </act> <act> put documents into envelope </act>  <act> print Physical Court File </act> <act> capture Party Details </act>;24;['First a mail from the party is collected by the mail processing unit', 'Within this unit the mail clerk sorts the unopened mail into one of the various business areas', 'Thereafter the mail is distributed', 'Next the mail is received by the registry', 'In case the mail is not compliant', 'A list of requisition explaining the reason for rejection is compiled', 'If the mail is compliant', 'The matter details are captured to the cashier', 'Before the assistant registry manager posts the documents to the party', 'The assistant registry manager puts the documents into an envelope', 'Before the cashier prints the physical court file', 'The cashier captures the party details']
25;Initially a mail from the party is collected by the mail processing unit. Within this unit, the mail clerk sorts the unopened mail into one of the various business areas. In the next step, the mail is distributed. Later the mail is received by the registry. If the mail is not compliant, a list of requisition explaining the reason for rejection is compiled. If the mail is compliant, the matter details are captured to the Cashier. After that, the assistant registry manager puts the documents into an envelope . The assistant registry manager posts the documents to the party. Before the cashier prints the physical court file, the cashier captures the party details.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> put documents into envelope </act>  <act> post documents </act> <act> print Physical Court File </act> <act> capture Party Details </act>;25;['Initially a mail from the party is collected by the mail processing unit', 'Within this unit the mail clerk sorts the unopened mail into one of the various business areas', 'In the next step the mail is distributed', 'Later the mail is received by the registry', 'If the mail is not compliant', 'A list of requisition explaining the reason for rejection is compiled', 'If the mail is compliant', 'The matter details are captured to the cashier', 'After that the assistant registry manager puts the documents into an envelope', 'The assistant registry manager posts the documents to the party', 'Before the cashier prints the physical court file', 'The cashier captures the party details']
26;The process starts when a mail from the party is collected by the mail processing unit. Within this unit, the mail clerk sorts the unopened mail into one of the various business areas. In the next step, the mail is distributed. Subsequently the mail is received by the registry. Whenever the mail is not compliant, a list of requisition explaining the reason for rejection is compiled. If the mail is compliant, the matter details are captured to the Cashier. In the next step, the assistant registry manager puts the documents into an envelope . Then the assistant registry manager posts the documents to the party. After the cashier captures the party details, the cashier prints the physical court file.; <act> collect mail </act> <act> sort mail </act> <act> distribute mail </act> <act> receive mail </act> <path1><act> compile list of requisition </act></path1><path2><act> capture matter details </act> </path2> <act> put documents into envelope </act>  <act> post documents </act> <act> capture Party Details </act> <act> print Physical Court File </act>;26;['The process starts', 'When a mail from the party is collected by the mail processing unit', 'Within this unit the mail clerk sorts the unopened mail into one of the various business areas', 'In the next step the mail is distributed', 'Subsequently the mail is received by the registry', 'Whenever the mail is not compliant', 'A list of requisition explaining the reason for rejection is compiled', 'If the mail is compliant', 'The matter details are captured to the cashier', 'In the next step the assistant registry manager puts the documents into an envelope', 'Then the assistant registry manager posts the documents to the party', 'After the cashier captures the party details', 'The cashier prints the physical court file']
27;In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information. The claimant is expected to return the questionnaire within five days. If no response is received after five days, a reminder is sent to the claimant. If a response is received within five days , the questionnaire is processed . The claimant receives feedback on the questionnaire .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>;27;['In the context of a claim handling process it is sometimes necessary', 'To send a questionnaire to the claimant', 'To gather additional information', 'The claimant is expected', 'To return the questionnaire within five days', 'If no response is received after five days', 'A reminder is sent to the claimant', 'If a response is received within five days', 'The questionnaire is processed', 'The claimant receives feedback on the questionnaire']
28;In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information. The claimant is expected to return the questionnaire within five days. If no response is received after five days, a reminder is sent to the claimant. In case a response is received within five days , the questionnaire is processed . Afterwards, the claimant receives feedback on the questionnaire .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>;28;['In the context of a claim handling process it is sometimes necessary', 'To send a questionnaire to the claimant', 'To gather additional information', 'The claimant is expected', 'To return the questionnaire within five days', 'If no response is received after five days', 'A reminder is sent to the claimant', 'In case a response is received within five days', 'The questionnaire is processed', 'Afterwards the claimant receives feedback on the questionnaire']
29;In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information. The claimant is expected to return the questionnaire within five days. In case no response is received after five days, a reminder is sent to the claimant. If a response is received within five days , the questionnaire is processed . Subsequently the claimant receives feedback on the questionnaire .; <act> send questionnaire </act> <act> return questionnaire </act> <path1><act> send reminder </act></path1><path2><act> process questionnaire </act></path2> <act> receive feedback </act>;29;['In the context of a claim handling process it is sometimes necessary', 'To send a questionnaire to the claimant', 'To gather additional information', 'The claimant is expected', 'To return the questionnaire within five days', 'In case no response is received after five days', 'A reminder is sent to the claimant', 'If a response is received within five days', 'The questionnaire is processed', 'Subsequently the claimant receives feedback on the questionnaire']
